"","control","id","type"
"183",35.4209,"ts 4","white noise"
"184",25.6033,"ts 4","white noise"
"185",27.97,"ts 4","white noise"
"186",25.2702,"ts 4","white noise"
"187",28.132,"ts 4","white noise"
"188",29.4268,"ts 4","white noise"
"189",31.4549,"ts 4","white noise"
"190",27.32,"ts 4","white noise"
"191",28.9564,"ts 4","white noise"
"192",28.9916,"ts 4","white noise"
"193",29.9578,"ts 4","white noise"
"194",30.2773,"ts 4","white noise"
"195",30.4447,"ts 4","white noise"
"196",24.3037,"ts 4","white noise"
"197",24.314,"ts 4","white noise"
"198",35.0966,"ts 4","white noise"
"199",25.3679,"ts 4","white noise"
"200",32.0968,"ts 4","white noise"
"201",33.3303,"ts 4","white noise"
"202",25.0102,"ts 4","white noise"
"203",35.3155,"ts 4","white noise"
"204",31.6264,"ts 4","white noise"
"205",29.2806,"ts 4","white noise"
"206",34.2021,"ts 4","white noise"
"207",26.5077,"ts 4","white noise"
"208",32.2279,"ts 4","white noise"
"209",25.5265,"ts 4","white noise"
"210",24.824,"ts 4","white noise"
"211",27.5587,"ts 4","white noise"
"212",28.3714,"ts 4","white noise"
"213",32.3667,"ts 4","white noise"
"214",26.9752,"ts 4","white noise"
"215",35.9346,"ts 4","white noise"
"216",35.1146,"ts 4","white noise"
"217",24.3749,"ts 4","white noise"
"218",27.6083,"ts 4","white noise"
"219",27.8433,"ts 4","white noise"
"220",29.8557,"ts 4","white noise"
"221",32.4185,"ts 4","white noise"
"222",26.8908,"ts 4","white noise"
"223",31.3209,"ts 4","white noise"
"224",29.3849,"ts 4","white noise"
"225",34.3336,"ts 4","white noise"
"226",24.7381,"ts 4","white noise"
"227",35.769,"ts 4","white noise"
"228",31.8725,"ts 4","white noise"
"229",34.2054,"ts 4","white noise"
"230",31.156,"ts 4","white noise"
"231",34.6292,"ts 4","white noise"
"232",28.7261,"ts 4","white noise"
"233",28.2979,"ts 4","white noise"
"234",31.5787,"ts 4","white noise"
"235",34.6156,"ts 4","white noise"
"236",32.5492,"ts 4","white noise"
"237",30.9827,"ts 4","white noise"
"238",24.8938,"ts 4","white noise"
"239",27.3659,"ts 4","white noise"
"240",25.3069,"ts 4","white noise"
"241",27.1798,"ts 5","white noise"
"242",29.2498,"ts 5","white noise"
"243",33.6928,"ts 5","white noise"
"244",25.6264,"ts 5","white noise"
"245",24.6555,"ts 5","white noise"
"246",28.9446,"ts 5","white noise"
"247",35.798,"ts 5","white noise"
"248",34.9446,"ts 5","white noise"
"249",24.5596,"ts 5","white noise"
"250",34.2366,"ts 5","white noise"
"251",27.9634,"ts 5","white noise"
"252",25.3216,"ts 5","white noise"
"253",35.4154,"ts 5","white noise"
"254",34.862,"ts 5","white noise"
"255",25.1472,"ts 5","white noise"
"256",29.4686,"ts 5","white noise"
"257",33.1739,"ts 5","white noise"
"258",31.1274,"ts 5","white noise"
"259",31.3701,"ts 5","white noise"
"260",26.5173,"ts 5","white noise"
"261",28.6486,"ts 5","white noise"
"262",31.6565,"ts 5","white noise"
"263",35.9497,"ts 5","white noise"
"264",33.0321,"ts 5","white noise"
"265",24.6081,"ts 5","white noise"
"266",33.2025,"ts 5","white noise"
"267",27.4335,"ts 5","white noise"
"268",32.6355,"ts 5","white noise"
"269",35.8773,"ts 5","white noise"
"270",28.0295,"ts 5","white noise"
"271",33.1247,"ts 5","white noise"
"272",33.4129,"ts 5","white noise"
"273",26.9245,"ts 5","white noise"
"274",30.2123,"ts 5","white noise"
"275",29.6526,"ts 5","white noise"
"276",30.8644,"ts 5","white noise"
"277",24.5119,"ts 5","white noise"
"278",33.9931,"ts 5","white noise"
"279",33.3094,"ts 5","white noise"
"280",33.204,"ts 5","white noise"
"281",31.2651,"ts 5","white noise"
"282",27.9072,"ts 5","white noise"
"283",35.111,"ts 5","white noise"
"284",35.0757,"ts 5","white noise"
"285",33.833,"ts 5","white noise"
"286",25.9481,"ts 5","white noise"
"287",29.1348,"ts 5","white noise"
"288",24.2875,"ts 5","white noise"
"289",32.3223,"ts 5","white noise"
"290",34.9244,"ts 5","white noise"
"291",27.7218,"ts 5","white noise"
"292",27.9601,"ts 5","white noise"
"293",35.7198,"ts 5","white noise"
"294",27.576,"ts 5","white noise"
"295",35.3375,"ts 5","white noise"
"296",29.9993,"ts 5","white noise"
"297",34.2149,"ts 5","white noise"
"298",33.1276,"ts 5","white noise"
"299",31.1057,"ts 5","white noise"
"300",31.0179,"ts 5","white noise"
"301",35.7709,"ts 101","cycle"
"302",34.396,"ts 101","cycle"
"303",35.2249,"ts 101","cycle"
"304",46.2393,"ts 101","cycle"
"305",44.4036,"ts 101","cycle"
"306",41.0473,"ts 101","cycle"
"307",37.5561,"ts 101","cycle"
"308",26.6758,"ts 101","cycle"
"309",25.0044,"ts 101","cycle"
"310",17.2235,"ts 101","cycle"
"311",21.7889,"ts 101","cycle"
"312",23.8187,"ts 101","cycle"
"313",28.0992,"ts 101","cycle"
"314",29.2357,"ts 101","cycle"
"315",32.1344,"ts 101","cycle"
"316",43.1505,"ts 101","cycle"
"317",44.4259,"ts 101","cycle"
"318",38.6312,"ts 101","cycle"
"319",32.2653,"ts 101","cycle"
"320",34.8402,"ts 101","cycle"
"321",25.9655,"ts 101","cycle"
"322",23.7696,"ts 101","cycle"
"323",18.9009,"ts 101","cycle"
"324",12.8192,"ts 101","cycle"
"325",20.8196,"ts 101","cycle"
"326",29.5038,"ts 101","cycle"
"327",35.8682,"ts 101","cycle"
"328",39.2315,"ts 101","cycle"
"329",46.9979,"ts 101","cycle"
"330",44.0014,"ts 101","cycle"
"331",37.8552,"ts 101","cycle"
"332",41.0403,"ts 101","cycle"
"333",29.2411,"ts 101","cycle"
"334",25.4182,"ts 101","cycle"
"335",19.957,"ts 101","cycle"
"336",11.8583,"ts 101","cycle"
"337",22.3583,"ts 101","cycle"
"338",21.6046,"ts 101","cycle"
"339",31.2824,"ts 101","cycle"
"340",34.6503,"ts 101","cycle"
"341",44.6238,"ts 101","cycle"
"342",38.333,"ts 101","cycle"
"343",47.4585,"ts 101","cycle"
"344",40.0818,"ts 101","cycle"
"345",29.08,"ts 101","cycle"
"346",27.5489,"ts 101","cycle"
"347",17.7724,"ts 101","cycle"
"348",16.1624,"ts 101","cycle"
"349",22.6897,"ts 101","cycle"
"350",22.0356,"ts 101","cycle"
"351",23.0995,"ts 101","cycle"
"352",24.5427,"ts 101","cycle"
"353",39.3011,"ts 101","cycle"
"354",42.2501,"ts 101","cycle"
"355",36.4959,"ts 101","cycle"
"356",46.0779,"ts 101","cycle"
"357",41.5371,"ts 101","cycle"
"358",32.4859,"ts 101","cycle"
"359",30.7772,"ts 101","cycle"
"360",24.5854,"ts 101","cycle"
"361",24.9706,"ts 102","cycle"
"362",33.8315,"ts 102","cycle"
"363",46.9423,"ts 102","cycle"
"364",42.5033,"ts 102","cycle"
"365",40.0592,"ts 102","cycle"
"366",38.257,"ts 102","cycle"
"367",30.9737,"ts 102","cycle"
"368",24.2685,"ts 102","cycle"
"369",19.5559,"ts 102","cycle"
"370",14.9595,"ts 102","cycle"
"371",13.9613,"ts 102","cycle"
"372",25.8069,"ts 102","cycle"
"373",33.8766,"ts 102","cycle"
"374",35.1541,"ts 102","cycle"
"375",35.0888,"ts 102","cycle"
"376",39.9575,"ts 102","cycle"
"377",39.8964,"ts 102","cycle"
"378",39.9479,"ts 102","cycle"
"379",35.3773,"ts 102","cycle"
"380",24.5035,"ts 102","cycle"
"381",23.8026,"ts 102","cycle"
"382",11.6346,"ts 102","cycle"
"383",19.4908,"ts 102","cycle"
"384",22.7429,"ts 102","cycle"
"385",27.3762,"ts 102","cycle"
"386",36.2696,"ts 102","cycle"
"387",42.7262,"ts 102","cycle"
"388",39.0815,"ts 102","cycle"
"389",46.3881,"ts 102","cycle"
"390",44.5109,"ts 102","cycle"
"391",37.7187,"ts 102","cycle"
"392",26.2496,"ts 102","cycle"
"393",23.0347,"ts 102","cycle"
"394",22.8681,"ts 102","cycle"
"395",10.9314,"ts 102","cycle"
"396",24.4129,"ts 102","cycle"
"397",30.0701,"ts 102","cycle"
"398",27.9194,"ts 102","cycle"
"399",42.9813,"ts 102","cycle"
"400",38.2759,"ts 102","cycle"
"401",40.5399,"ts 102","cycle"
"402",41.9338,"ts 102","cycle"
"403",34.0903,"ts 102","cycle"
"404",28.2374,"ts 102","cycle"
"405",17.3099,"ts 102","cycle"
"406",17.0727,"ts 102","cycle"
"407",14.5014,"ts 102","cycle"
"408",19.3736,"ts 102","cycle"
"409",25.3264,"ts 102","cycle"
"410",26.866,"ts 102","cycle"
"411",31.4218,"ts 102","cycle"
"412",40.1772,"ts 102","cycle"
"413",40.7762,"ts 102","cycle"
"414",36.4066,"ts 102","cycle"
"415",43.8886,"ts 102","cycle"
"416",26.3209,"ts 102","cycle"
"417",30.8269,"ts 102","cycle"
"418",24.1889,"ts 102","cycle"
"419",11.4137,"ts 102","cycle"
"420",13.1961,"ts 102","cycle"
"421",35.5351,"ts 103","cycle"
"422",41.7067,"ts 103","cycle"
"423",39.1705,"ts 103","cycle"
"424",48.3964,"ts 103","cycle"
"425",38.6103,"ts 103","cycle"
"426",34.5755,"ts 103","cycle"
"427",39.4181,"ts 103","cycle"
"428",29.1601,"ts 103","cycle"
"429",21.1805,"ts 103","cycle"
"430",20.4808,"ts 103","cycle"
"431",14.5935,"ts 103","cycle"
"432",24.265,"ts 103","cycle"
"433",26.4578,"ts 103","cycle"
"434",28.9629,"ts 103","cycle"
"435",31.7837,"ts 103","cycle"
"436",45.5757,"ts 103","cycle"
"437",48.4191,"ts 103","cycle"
"438",46.4321,"ts 103","cycle"
"439",35.8598,"ts 103","cycle"
"440",35.509,"ts 103","cycle"
"441",22.1924,"ts 103","cycle"
"442",23.3135,"ts 103","cycle"
"443",23.2302,"ts 103","cycle"
"444",22.6636,"ts 103","cycle"
"445",19.3221,"ts 103","cycle"
"446",17.248,"ts 103","cycle"
"447",27.1418,"ts 103","cycle"
"448",39.0091,"ts 103","cycle"
"449",45.7347,"ts 103","cycle"
"450",42.0011,"ts 103","cycle"
"451",44.5071,"ts 103","cycle"
"452",43.5643,"ts 103","cycle"
"453",35.0768,"ts 103","cycle"
"454",23.3575,"ts 103","cycle"
"455",20.7055,"ts 103","cycle"
"456",19.9759,"ts 103","cycle"
"457",18.6236,"ts 103","cycle"
"458",18.7408,"ts 103","cycle"
"459",27.4668,"ts 103","cycle"
"460",26.2064,"ts 103","cycle"
"461",35.5579,"ts 103","cycle"
"462",39.407,"ts 103","cycle"
"463",44.8076,"ts 103","cycle"
"464",48.1086,"ts 103","cycle"
"465",45.3199,"ts 103","cycle"
"466",36.0476,"ts 103","cycle"
"467",32.956,"ts 103","cycle"
"468",27.4532,"ts 103","cycle"
"469",15.7995,"ts 103","cycle"
"470",13.0734,"ts 103","cycle"
"471",22.8846,"ts 103","cycle"
"472",15.4841,"ts 103","cycle"
"473",32.6882,"ts 103","cycle"
"474",30.0856,"ts 103","cycle"
"475",42.1698,"ts 103","cycle"
"476",48.2339,"ts 103","cycle"
"477",46.0566,"ts 103","cycle"
"478",37.7721,"ts 103","cycle"
"479",37.2248,"ts 103","cycle"
"480",32.9494,"ts 103","cycle"
"481",24.2104,"ts 104","cycle"
"482",41.7679,"ts 104","cycle"
"483",45.2228,"ts 104","cycle"
"484",43.7762,"ts 104","cycle"
"485",48.8175,"ts 104","cycle"
"486",42.4056,"ts 104","cycle"
"487",33.754,"ts 104","cycle"
"488",27.3527,"ts 104","cycle"
"489",21.9765,"ts 104","cycle"
"490",22.2249,"ts 104","cycle"
"491",14.6318,"ts 104","cycle"
"492",13.2447,"ts 104","cycle"
"493",25.9956,"ts 104","cycle"
"494",22.9981,"ts 104","cycle"
"495",36.5781,"ts 104","cycle"
"496",39.1692,"ts 104","cycle"
"497",48.3092,"ts 104","cycle"
"498",44.9226,"ts 104","cycle"
"499",44.9275,"ts 104","cycle"
"500",33.9707,"ts 104","cycle"
"501",33.7175,"ts 104","cycle"
"502",25.0466,"ts 104","cycle"
"503",19.1417,"ts 104","cycle"
"504",16.1412,"ts 104","cycle"
"505",10.5987,"ts 104","cycle"
"506",24.3277,"ts 104","cycle"
"507",18.0507,"ts 104","cycle"
"508",26.8056,"ts 104","cycle"
"509",39.6169,"ts 104","cycle"
"510",45.4319,"ts 104","cycle"
"511",42.7228,"ts 104","cycle"
"512",40.7078,"ts 104","cycle"
"513",34.2781,"ts 104","cycle"
"514",36.3512,"ts 104","cycle"
"515",30.5172,"ts 104","cycle"
"516",21.4045,"ts 104","cycle"
"517",15.7467,"ts 104","cycle"
"518",13.948,"ts 104","cycle"
"519",14.5696,"ts 104","cycle"
"520",21.9495,"ts 104","cycle"
"521",22.5105,"ts 104","cycle"
"522",32.4536,"ts 104","cycle"
"523",43.0862,"ts 104","cycle"
"524",41.8163,"ts 104","cycle"
"525",38.1183,"ts 104","cycle"
"526",46.5417,"ts 104","cycle"
"527",35.1324,"ts 104","cycle"
"528",27.1443,"ts 104","cycle"
"529",19.4728,"ts 104","cycle"
"530",22.2505,"ts 104","cycle"
"531",14.7018,"ts 104","cycle"
"532",16.1907,"ts 104","cycle"
"533",21.4407,"ts 104","cycle"
"534",21.923,"ts 104","cycle"
"535",30.5317,"ts 104","cycle"
"536",41.065,"ts 104","cycle"
"537",44.3438,"ts 104","cycle"
"538",45.9355,"ts 104","cycle"
"539",40.3084,"ts 104","cycle"
"540",45.0065,"ts 104","cycle"
"541",31.5555,"ts 105","cycle"
"542",33.8108,"ts 105","cycle"
"543",47.7598,"ts 105","cycle"
"544",40.4056,"ts 105","cycle"
"545",34.2128,"ts 105","cycle"
"546",26.8555,"ts 105","cycle"
"547",30.1153,"ts 105","cycle"
"548",13.082,"ts 105","cycle"
"549",19.8027,"ts 105","cycle"
"550",19.3834,"ts 105","cycle"
"551",26.7693,"ts 105","cycle"
"552",31.8521,"ts 105","cycle"
"553",40.1876,"ts 105","cycle"
"554",39.8323,"ts 105","cycle"
"555",43.9535,"ts 105","cycle"
"556",37.7174,"ts 105","cycle"
"557",24.2572,"ts 105","cycle"
"558",23.6006,"ts 105","cycle"
"559",13.4661,"ts 105","cycle"
"560",16.1605,"ts 105","cycle"
"561",16.1841,"ts 105","cycle"
"562",32.2748,"ts 105","cycle"
"563",40.7452,"ts 105","cycle"
"564",41.001,"ts 105","cycle"
"565",42.0267,"ts 105","cycle"
"566",47.4836,"ts 105","cycle"
"567",31.6293,"ts 105","cycle"
"568",31.7157,"ts 105","cycle"
"569",19.3745,"ts 105","cycle"
"570",11.8441,"ts 105","cycle"
"571",12.0783,"ts 105","cycle"
"572",25.5561,"ts 105","cycle"
"573",35.7218,"ts 105","cycle"
"574",43.9844,"ts 105","cycle"
"575",48.6975,"ts 105","cycle"
"576",38.1681,"ts 105","cycle"
"577",35.859,"ts 105","cycle"
"578",34.6789,"ts 105","cycle"
"579",30.3785,"ts 105","cycle"
"580",23.1508,"ts 105","cycle"
"581",14.7885,"ts 105","cycle"
"582",20.0223,"ts 105","cycle"
"583",27.5827,"ts 105","cycle"
"584",38.2921,"ts 105","cycle"
"585",35.1351,"ts 105","cycle"
"586",43.0436,"ts 105","cycle"
"587",45.1359,"ts 105","cycle"
"588",31.75,"ts 105","cycle"
"589",29.2927,"ts 105","cycle"
"590",16.4292,"ts 105","cycle"
"591",21.88,"ts 105","cycle"
"592",13.8714,"ts 105","cycle"
"593",22.6016,"ts 105","cycle"
"594",26.2231,"ts 105","cycle"
"595",37.3841,"ts 105","cycle"
"596",45.987,"ts 105","cycle"
"597",43.623,"ts 105","cycle"
"598",43.531,"ts 105","cycle"
"599",35.1972,"ts 105","cycle"
"600",23.164,"ts 105","cycle"
"601",35.3258,"ts 521","decreasing"
"602",27.6795,"ts 521","decreasing"
"603",31.4366,"ts 521","decreasing"
"604",24.8255,"ts 521","decreasing"
"605",26.8885,"ts 521","decreasing"
"606",31.2295,"ts 521","decreasing"
"607",24.7069,"ts 521","decreasing"
"608",24.8145,"ts 521","decreasing"
"609",28.5994,"ts 521","decreasing"
"610",29.3596,"ts 521","decreasing"
"611",31.7395,"ts 521","decreasing"
"612",25.9837,"ts 521","decreasing"
"613",35.1201,"ts 521","decreasing"
"614",25.9859,"ts 521","decreasing"
"615",34.9615,"ts 521","decreasing"
"616",32.3359,"ts 521","decreasing"
"617",30.1722,"ts 521","decreasing"
"618",28.6115,"ts 521","decreasing"
"619",33.5874,"ts 521","decreasing"
"620",35.2112,"ts 521","decreasing"
"621",30.668,"ts 521","decreasing"
"622",31.745,"ts 521","decreasing"
"623",34.6949,"ts 521","decreasing"
"624",35.5461,"ts 521","decreasing"
"625",33.4754,"ts 521","decreasing"
"626",27.7038,"ts 521","decreasing"
"627",34.3589,"ts 521","decreasing"
"628",35.7896,"ts 521","decreasing"
"629",29.1378,"ts 521","decreasing"
"630",33.135,"ts 521","decreasing"
"631",35.8513,"ts 521","decreasing"
"632",28.9296,"ts 521","decreasing"
"633",8.17668,"ts 521","decreasing"
"634",13.2678,"ts 521","decreasing"
"635",9.46672,"ts 521","decreasing"
"636",14.0368,"ts 521","decreasing"
"637",16.2853,"ts 521","decreasing"
"638",17.4075,"ts 521","decreasing"
"639",9.72671,"ts 521","decreasing"
"640",17.9264,"ts 521","decreasing"
"641",18.9289,"ts 521","decreasing"
"642",13.9402,"ts 521","decreasing"
"643",8.9214,"ts 521","decreasing"
"644",11.3065,"ts 521","decreasing"
"645",13.3677,"ts 521","decreasing"
"646",11.7743,"ts 521","decreasing"
"647",8.34633,"ts 521","decreasing"
"648",8.51195,"ts 521","decreasing"
"649",16.2496,"ts 521","decreasing"
"650",16.6484,"ts 521","decreasing"
"651",10.254,"ts 521","decreasing"
"652",10.5702,"ts 521","decreasing"
"653",19.1878,"ts 521","decreasing"
"654",15.4891,"ts 521","decreasing"
"655",18.1441,"ts 521","decreasing"
"656",11.8522,"ts 521","decreasing"
"657",18.4401,"ts 521","decreasing"
"658",15.2299,"ts 521","decreasing"
"659",18.0872,"ts 521","decreasing"
"660",15.4924,"ts 521","decreasing"
"661",28.2421,"ts 522","decreasing"
"662",28.916,"ts 522","decreasing"
"663",26.0876,"ts 522","decreasing"
"664",26.2705,"ts 522","decreasing"
"665",28.6475,"ts 522","decreasing"
"666",24.5306,"ts 522","decreasing"
"667",34.5803,"ts 522","decreasing"
"668",33.2326,"ts 522","decreasing"
"669",35.5898,"ts 522","decreasing"
"670",26.0965,"ts 522","decreasing"
"671",30.1329,"ts 522","decreasing"
"672",24.0378,"ts 522","decreasing"
"673",27.6803,"ts 522","decreasing"
"674",32.4251,"ts 522","decreasing"
"675",25.8581,"ts 522","decreasing"
"676",32.987,"ts 522","decreasing"
"677",24.0474,"ts 522","decreasing"
"678",35.1881,"ts 522","decreasing"
"679",25.925,"ts 522","decreasing"
"680",31.8071,"ts 522","decreasing"
"681",30.4517,"ts 522","decreasing"
"682",31.6558,"ts 522","decreasing"
"683",24.9445,"ts 522","decreasing"
"684",35.2861,"ts 522","decreasing"
"685",24.7242,"ts 522","decreasing"
"686",27.7776,"ts 522","decreasing"
"687",24.2982,"ts 522","decreasing"
"688",35.7363,"ts 522","decreasing"
"689",34.5396,"ts 522","decreasing"
"690",28.9714,"ts 522","decreasing"
"691",25.1773,"ts 522","decreasing"
"692",31.3984,"ts 522","decreasing"
"693",29.646,"ts 522","decreasing"
"694",15.7261,"ts 522","decreasing"
"695",5.96756,"ts 522","decreasing"
"696",16.535,"ts 522","decreasing"
"697",12.2092,"ts 522","decreasing"
"698",11.2541,"ts 522","decreasing"
"699",13.771,"ts 522","decreasing"
"700",7.35345,"ts 522","decreasing"
"701",16.9254,"ts 522","decreasing"
"702",6.01053,"ts 522","decreasing"
"703",13.0571,"ts 522","decreasing"
"704",15.9868,"ts 522","decreasing"
"705",15.8535,"ts 522","decreasing"
"706",6.40161,"ts 522","decreasing"
"707",9.94712,"ts 522","decreasing"
"708",14.2289,"ts 522","decreasing"
"709",8.82049,"ts 522","decreasing"
"710",8.6031,"ts 522","decreasing"
"711",10.8909,"ts 522","decreasing"
"712",15.8505,"ts 522","decreasing"
"713",17.5996,"ts 522","decreasing"
"714",16.7513,"ts 522","decreasing"
"715",5.69362,"ts 522","decreasing"
"716",14.7085,"ts 522","decreasing"
"717",8.35853,"ts 522","decreasing"
"718",6.35314,"ts 522","decreasing"
"719",6.59587,"ts 522","decreasing"
"720",7.3898,"ts 522","decreasing"
"721",25.2155,"ts 523","decreasing"
"722",34.8513,"ts 523","decreasing"
"723",30.5831,"ts 523","decreasing"
"724",27.609,"ts 523","decreasing"
"725",35.7995,"ts 523","decreasing"
"726",31.2794,"ts 523","decreasing"
"727",33.399,"ts 523","decreasing"
"728",29.5344,"ts 523","decreasing"
"729",26.846,"ts 523","decreasing"
"730",31.972,"ts 523","decreasing"
"731",24.3959,"ts 523","decreasing"
"732",32.7843,"ts 523","decreasing"
