"ts1","ts2","ts3","ts4","ts5","ts101","ts102","ts103","ts104","ts105","ts201","ts202","ts203","ts204","ts205","ts301","ts302","ts303","ts304","ts305","ts401","ts402","ts403","ts404","ts405","ts501","ts502","ts503","ts504","ts505"
32.8717,27.5415,31.8387,28.9564,27.9634,21.7889,13.9613,14.5935,14.6318,26.7693,37.5035,31.6596,32.4006,37.8224,28.3023,20.7447,25.6637,28.7364,20.9018,22.7392,26.4251,33.9807,34.4265,27.6068,32.1141,31.7395,30.1329,24.3959,32.9455,28.3908
29.2171,31.1887,27.2587,28.9916,25.3216,23.8187,25.8069,24.265,13.2447,31.8521,26.5441,28.9334,37.2576,37.3428,34.4149,28.9633,26.5104,22.7642,28.2636,25.0529,25.864,35.624,29.1624,29.0588,26.8423,25.9837,24.0378,32.7843,35.931,34.4742
36.0253,27.4867,28.2572,29.9578,35.4154,28.0992,33.8766,26.4578,25.9956,40.1876,36.0212,28.4097,37.5364,36.9154,36.1121,19.5801,23.3439,27.0752,25.396,32.6791,25.9907,29.436,28.8315,27.7409,29.2292,35.1201,27.6803,29.4558,25.8383,27.9906
32.337,31.391,26.5819,30.2773,34.862,29.2357,35.1541,28.9629,22.9981,39.8323,28.4489,30.999,40.4136,32.3087,32.1317,21.0691,22.746,31.6947,27.6674,31.1964,26.2331,33.1059,32.5008,24.6885,33.677,25.9859,32.4251,31.4586,24.9717,35.545
34.5249,27.811,24.0455,30.4447,25.1472,32.1344,35.0888,31.7837,36.5781,43.9535,36.3764,32.7143,33.8632,38.2306,38.5204,25.2373,23.7026,23.0682,23.3225,32.1598,29.7679,32.5294,24.1998,30.4877,29.4282,34.9615,25.8581,27.2282,26.1218,32.5136
32.8717,24.488,35.0625,24.3037,29.4686,43.1505,39.9575,45.5757,39.1692,37.7174,29.9429,31.1408,33.2537,36.7636,31.5615,18.5355,25.6132,28.1773,23.4474,29.3805,30.1098,27.4886,26.8276,30.1131,33.5437,32.3359,32.987,34.9086,28.8954,24.8685
34.1173,27.5918,31.5717,24.314,33.1739,44.4259,39.8964,48.4191,48.3092,24.2572,38.1711,34.8166,43.2327,38.6706,30.0991,20.5305,27.9502,30.347,23.2294,23.5885,27.3303,31.4476,25.951,25.4994,33.2385,30.1722,24.0474,31.9488,26.3642,25.7006
26.5235,35.6273,32.5614,35.0966,31.1274,38.6312,39.9479,46.4321,44.9226,23.6006,28.0999,31.4493,40.0221,33.7404,35.5261,21.009,30.9147,21.6923,23.878,31.7861,25.8835,33.1724,24.5696,34.8781,33.5609,28.6115,35.1881,31.6268,33.457,35.7367
27.6623,35.4102,31.0308,25.3679,31.3701,32.2653,35.3773,35.8598,44.9275,13.4661,30.2058,38.534,34.1173,42.3095,34.4978,21.6225,27.0545,23.5198,25.6356,24.2653,26.5055,28.8098,31.8324,31.0032,30.0683,33.5874,25.925,33.4221,29.2553,27.0861
26.3693,31.4167,34.1202,32.0968,26.5173,34.8402,24.5035,35.509,33.9707,16.1605,32.966,36.0718,38.4532,34.9196,33.9079,19.681,32.0994,25.8688,27.3443,30.2981,32.7351,28.9266,33.4445,27.4643,30.9595,35.2112,31.8071,27.656,34.1499,34.111
25.7744,30.7447,26.9337,33.3303,28.6486,25.9655,23.8026,22.1924,33.7175,16.1841,38.7074,39.5278,42.5647,39.4181,41.7105,17.8698,28.0529,20.7379,24.2763,21.1997,29.0269,32.9121,34.6182,25.0234,30.3184,30.668,30.4517,33.7478,26.3524,35.7576
29.27,24.1311,31.4781,25.0102,31.6565,23.7696,11.6346,23.3135,25.0466,32.2748,32.1641,37.4857,37.4766,39.438,40.1728,20.0569,25.6017,26.4841,23.5404,26.2385,27.8246,43.3228,31.1097,24.5574,28.111,31.745,31.6558,31.9782,26.4278,34.7515
30.7326,35.1422,35.0173,35.3155,35.9497,18.9009,19.4908,23.2302,19.1417,40.7452,38.023,38.5054,37.2659,45.2791,40.6953,15.6248,25.8566,25.9445,23.8112,30.8587,24.7139,41.8815,29.5821,27.7636,35.2042,34.6949,24.9445,33.0997,26.6147,32.2859
29.5054,30.4719,32.3851,31.6264,33.0321,12.8192,22.7429,22.6636,16.1412,41.001,39.0665,36.7237,43.0438,39.3199,36.2342,19.4585,23.6492,26.3557,20.8636,29.9837,34.8752,34.5243,28.1562,35.2773,38.5437,35.5461,35.2861,32.6532,24.9435,31.1689
33.0292,31.9874,24.3323,29.2806,24.6081,20.8196,27.3762,19.3221,10.5987,42.0267,32.1428,41.7028,39.4282,43.1482,32.534,19.6619,23.7292,26.6097,16.9069,21.0293,29.7947,34.406,26.5529,32.0506,41.6886,33.4754,24.7242,24.083,16.9506,32.6759
25.04,33.6615,30.2001,34.2021,33.2025,29.5038,36.2696,17.248,24.3277,47.4836,36.4759,38.9689,43.5632,36.0969,40.753,20.1131,20.7066,27.9231,21.5761,27.8689,35.5663,38.3856,30.4796,30.3617,34.5425,27.7038,27.7776,28.8477,26.6885,25.5967
28.9167,25.5511,31.2452,26.5077,27.4335,35.8682,42.7262,27.1418,18.0507,31.6293,31.9306,34.8491,45.8074,36.9049,43.6766,13.5119,26.2645,22.3435,14.6181,18.415,32.9517,41.9593,34.8113,32.0906,34.0894,34.3589,24.2982,30.8736,25.5005,24.6305
24.3437,30.4686,26.6814,32.2279,32.6355,39.2315,39.0815,39.0091,26.8056,31.7157,30.5072,32.8099,49.2652,44.5956,40.6874,17.3118,24.7386,18.341,14.948,19.4992,41.1319,43.9185,35.3798,34.938,43.9143,35.7896,35.7363,25.1391,19.1524,33.3579
26.1203,33.6472,31.5137,25.5265,35.8773,46.9979,46.3881,45.7347,39.6169,19.3745,33.0331,41.126,40.0135,47.8287,32.3973,14.9623,23.2973,25.2887,18.6867,23.458,44.4593,44.9551,47.9502,26.283,34.3258,29.1378,34.5396,24.2513,19.9133,33.6564
34.9424,25.0701,28.8778,24.824,28.0295,44.0014,44.5109,42.0011,45.4319,11.8441,35.117,33.7559,43.1008,42.1111,37.5158,13.6421,28.814,17.0434,24.682,24.5885,37.9397,36.6563,43.1994,34.765,42.0635,33.135,28.9714,22.4225,17.996,32.0006
25.0293,34.0765,27.3086,27.5587,33.1247,37.8552,37.7187,44.5071,42.7228,12.0783,30.748,36.3514,40.9674,39.4279,44.2263,20.6236,28.3223,23.8978,22.3914,25.9576,43.838,36.476,44.17,24.9827,44.254,35.8513,25.1773,20.1968,23.6564,17.4412
26.6311,32.5981,24.246,28.3714,33.4129,41.0403,26.2496,43.5643,40.7078,25.5561,37.887,33.0182,47.6898,46.5685,34.2962,18.942,24.1253,21.4495,13.9003,23.9212,34.8279,35.6252,53.0376,27.4526,32.3961,28.9296,31.3984,24.3886,21.9855,19.4437
35.6541,28.3038,26.9631,32.3667,26.9245,29.2411,23.0347,35.0768,34.2781,35.7218,31.35,32.937,47.2499,40.8066,33.8502,11.7507,27.6359,21.0116,19.4409,26.1886,42.4491,37.5762,45.2169,34.3211,33.5066,8.17668,29.646,17.9222,26.2111,26.4396
28.4353,26.1471,25.2919,26.9752,30.2123,25.4182,22.8681,23.3575,36.3512,43.9844,35.4752,38.9925,49.2136,44.658,41.4931,15.7699,19.4898,26.4526,13.0709,27.1013,39.8268,41.8404,48.519,31.5563,37.8563,13.2678,15.7261,17.0123,18.8498,22.0884
29.1495,26.9414,31.6114,35.9346,29.6526,19.957,10.9314,20.7055,30.5172,48.6975,38.285,38.0194,43.9907,45.1153,37.198,12.7612,20.2114,19.4423,10.7505,27.9835,34.743,39.9374,44.6786,26.9102,42.2045,9.46672,5.96756,20.4285,22.1357,16.8382
28.1584,31.5203,24.7131,35.1146,30.8644,11.8583,24.4129,19.9759,21.4045,38.1681,38.033,39.337,51.4391,44.5902,38.8984,15.3504,23.6849,19.7804,10.9764,21.7127,35.7742,39.6701,50.8273,24.1061,42.1575,14.0368,16.535,26.3988,23.0725,22.7681
26.1927,33.1089,27.4809,24.3749,24.5119,22.3583,30.0701,18.6236,15.7467,35.859,41.6004,44.1277,49.9115,41.4234,42.4324,11.0575,17.5369,23.1524,20.0395,20.9579,36.0166,44.5056,52.1361,26.8261,42.3826,16.2853,12.2092,19.3092,22.3983,18.0541
33.3182,24.1491,24.2075,27.6083,33.9931,21.6046,27.9194,18.7408,13.948,34.6789,32.7202,37.2854,53.2786,47.8347,45.5173,11.0493,24.9125,16.6602,12.1304,20.1101,40.9744,41.5352,44.2174,29.0155,38.5368,17.4075,11.2541,28.2253,16.7368,24.0809
30.9772,28.5157,26.8059,27.8433,33.3094,31.2824,42.9813,27.4668,14.5696,30.3785,43.2126,39.6778,45.1929,53.8572,45.8172,7.15418,23.8523,23.1757,18.0864,16.1708,40.1797,35.1731,52.5165,48.932,38.2643,9.72671,13.771,20.315,18.4837,27.261
27.0443,25.7906,35.1253,29.8557,33.204,34.6503,38.2759,26.2064,21.9495,23.1508,40.1186,34.8823,45.8125,44.5647,45.8344,12.1079,17.4289,24.8439,10.6113,26.0014,45.3021,36.0534,54.0078,49.2078,36.1972,17.9264,7.35345,24.1433,23.4155,17.3439
35.5344,35.9519,32.6293,32.4185,31.2651,44.6238,40.5399,35.5579,22.5105,14.7885,44.5204,39.1971,48.8848,45.3238,39.4513,10.9136,18.1659,21.3702,15.3643,21.9504,37.2016,45.4634,48.3662,49.1556,39.6469,18.9289,16.9254,16.6854,18.5432,20.4634
26.2353,26.5301,31.0561,26.8908,27.9072,38.333,41.9338,39.407,32.4536,20.0223,41.8285,38.6173,55.9336,54.7247,41.1374,15.3121,26.2076,24.3354,18.6756,22.9711,35.3739,42.6031,45.38,43.5482,41.6835,13.9402,6.01053,19.5439,20.4476,23.8727
28.9964,24.8578,26.3583,31.3209,35.111,47.4585,34.0903,44.8076,43.0862,27.5827,38.7962,42.2168,50.8227,44.2337,42.3521,4.75046,16.2504,22.4654,19.3187,17.4637,41.9886,37.1862,45.9356,45.858,40.1731,8.9214,13.0571,25.6291,19.7528,26.3107
32.0036,25.9562,28.0861,29.3849,35.0757,40.0818,28.2374,48.1086,41.8163,38.2921,40.0053,38.776,53.7613,44.9766,38.8468,11.4514,18.3894,17.0598,17.4772,19.7913,39.9425,35.4485,51.2816,51.5312,44.0153,11.3065,15.9868,16.8297,15.8937,26.6349
31.0558,32.8357,31.4391,34.3336,33.833,29.08,17.3099,45.3199,38.1183,35.1351,35.3026,45.8156,48.7672,55.8376,41.1352,7.40863,19.9031,12.2025,16.5993,14.9894,43.4215,39.9294,50.7443,47.3933,37.347,13.3677,15.8535,16.9924,23.9806,16.2555
34.2553,28.5322,27.3057,24.7381,25.9481,27.5489,17.0727,36.0476,46.5417,43.0436,38.6383,35.7799,57.6819,52.9711,47.2166,1.79781,17.9491,11.8315,13.8059,14.9998,39.1702,42.3567,46.6462,43.5746,40.4221,11.7743,6.40161,22.6292,20.0088,17.0413
28.0721,26.3458,29.6082,35.769,29.1348,17.7724,14.5014,32.956,35.1324,45.1359,38.795,38.4099,58.6001,54.4026,38.3026,2.75766,26.2839,15.6387,9.15697,24.8499,44.7604,36.6971,43.9354,54.5313,34.9057,8.34633,9.94712,18.5748,19.8189,22.7483
28.9402,30.6213,35.9725,31.8725,24.2875,16.1624,19.3736,27.4532,27.1443,31.75,46.2453,44.949,54.3536,54.4372,49.9033,12.27,16.4354,14.3779,10.8103,20.7409,33.3542,39.4953,43.0713,44.4001,43.1883,8.51195,14.2289,24.8329,24.7367,19.8281
35.4973,28.9861,34.1444,34.2054,32.3223,22.6897,25.3264,15.7995,19.4728,29.2927,37.346,39.094,57.2922,56.9123,46.9802,2.26104,22.1713,17.3185,9.42373,23.4144,33.6818,35.3982,48.1833,45.139,40.5719,16.2496,8.82049,28.0685,26.6624,21.2115
29.747,29.4047,27.1717,31.156,34.9244,22.0356,26.866,13.0734,22.2505,16.4292,40.4335,46.217,50.0882,55.3656,49.8109,0.280929,16.5657,18.4986,11.6022,16.1014,37.3492,35.2146,44.5527,46.2858,43.579,16.6484,8.6031,17.6608,20.0547,23.7706
31.4333,32.5577,33.6318,34.6292,27.7218,23.0995,31.4218,22.8846,14.7018,21.88,35.7605,45.3056,55.5525,49.8034,43.6625,5.60738,14.734,10.7862,13.9429,15.6811,44.752,41.8551,52.7787,54.9118,38.0098,10.254,10.8909,17.4419,21.0932,24.1867
24.5556,31.0205,26.5966,28.7261,27.9601,24.5427,40.1772,15.4841,16.1907,13.8714,38.2306,40.7793,50.9293,50.875,42.2603,2.77789,20.814,17.2087,12.6735,15.6725,44.7395,43.5164,53.0626,52.7129,35.4708,10.5702,15.8505,26.5438,23.8451,16.2786
33.7431,26.6418,25.5387,28.2979,35.7198,39.3011,40.7762,32.6882,21.4407,22.6016,42.7972,43.6028,56.8585,52.8169,49.1265,8.24829,15.6153,15.5848,15.4575,23.2877,40.7702,40.7372,52.7824,55.3194,37.2496,19.1878,17.5996,20.9713,23.1055,25.1705
25.0466,28.4331,32.5434,31.5787,27.576,42.2501,36.4066,30.0856,21.923,26.2231,45.1616,42.1233,54.5623,60.4592,47.7338,-1.94763,25.0509,17.0231,14.6864,17.7656,39.4049,40.1519,48.1419,44.8456,41.6177,15.4891,16.7513,17.7948,17.6692,21.0818
34.9318,33.6564,25.5772,34.6156,35.3375,36.4959,43.8886,42.1698,30.5317,37.3841,46.5,38.6905,53.5783,54.8577,46.039,4.64022,17.7499,19.0416,9.88177,21.8166,44.8878,45.5195,47.6909,49.8868,40.8741,18.1441,5.69362,17.2708,18.277,25.2986
34.9879,26.4244,29.9897,32.5492,29.9993,46.0779,26.3209,48.2339,41.065,45.987,47.8927,42.7685,62.1838,51.2098,46.8042,-1.09838,22.3346,18.0558,3.85724,16.3705,37.2934,33.8981,46.2305,54.4854,44.0454,11.8522,14.7085,23.5686,17.1103,20.1036
32.4721,28.4661,31.351,30.9827,34.2149,41.5371,30.8269,46.0566,44.3438,43.623,39.6977,39.8767,62.8526,53.1535,52.0079,1.73428,12.8159,17.958,9.13941,12.1389,36.5857,39.4479,46.4262,45.4647,43.9955,18.4401,8.35853,24.6853,19.5971,21.2845
33.3759,34.2484,33.9002,24.8938,33.1276,32.4859,24.1889,37.7721,45.9355,43.531,47.7654,45.9186,57.1975,56.9139,43.246,-0.389051,20.5454,15.1527,6.37396,18.9965,33.7802,44.0374,42.1283,52.8844,33.0435,15.2299,6.35314,21.1835,18.3196,19.0195
25.4652,32.1005,29.5446,27.3659,31.1057,30.7772,11.4137,37.2248,40.3084,35.1972,46.5461,41.1792,63.8281,57.1934,46.1068,-0.918282,17.1453,9.62487,8.2564,17.3203,36.5053,40.3201,48.7797,51.3556,41.3126,18.0872,6.59587,26.9937,24.2579,21.4333
25.8717,26.691,29.343,25.3069,31.0179,24.5854,13.1961,32.9494,45.0065,23.164,44.9522,44.3473,56.1269,57.2379,45.1586,-5.11493,16.9694,17.5622,12.6818,12.9403,40.6512,34.6623,45.5261,54.1924,41.3284,15.4924,7.3898,21.0572,16.3828,22.9591
