site,time,pH,DO,SS,Nitrates,Temperature,Phosphate,Chl-a
영산호1,2008/11,8.3,8.5,9.1,0.932,17,0.056,4.4
영산호1,2008/12,7.7,12.6,3.2,1.222,9.7,0.029,3.4
영산호1,2009/01,7.9,14.7,4.7,0.099,5.5,0.135,3.2
영산호1,2009/02,8.9,14.1,4.4,2.053,5,0.015,1.9
영산호1,2009/03,8.6,12.6,4.5,2.5,9,0.027,18.3
영산호1,2009/04,9.1,14.9,4.7,2.563,10,0.032,34.5
영산호1,2009/05,8.2,7.7,5.5,2.591,18.7,0.036,1.4
영산호1,2009/06,8.2,7.2,7.6,2.614,20.7,0.027,4.9
영산호1,2009/07,6.8,5.2,37.5,1.626,25.2,0.093,3.2
영산호1,2009/08,7.5,5.6,6.9,1.731,26.9,0.077,2
영산호1,2009/09,7.4,4.9,21.6,1.421,26.8,0.069,5
영산호1,2009/10,7.4,6.7,15.6,1.425,22.7,0.038,3.1
영산호1,2009/11,7.4,8.4,11.7,1.548,17,0.047,3.1
영산호1,2009/12,7.7,13.4,7.2,1.74,10.7,0.026,2.7
영산호1,2010/01,8.2,15.4,4.7,2.416,3,0.004,8.3
영산호1,2010/02,7.8,13.4,2.9,2.374,3,0.034,4.2
영산호1,2010/03,7.9,11.6,8.8,3.625,9,0.027,2.9
영산호1,2010/04,8.2,9.7,6.9,3.496,12.7,0.011,4.2
영산호1,2010/05,7.6,6.8,5.1,2.305,17.9,0.003,0.5
영산호1,2010/06,7.8,7.3,9.7,0.06,21.5,0.005,9.2
영산호1,2010/07,7.5,5.3,5,2.117,26.9,0.046,1.6
영산호1,2010/08,7.2,5.5,12.3,1.606,28.2,0.031,2.7
영산호1,2010/09,7.2,5.3,16.2,1.323,27.2,0.004,5.5
영산호1,2010/10,7.8,7.4,21.2,1.581,21,0.007,10.4
영산호1,2010/11,7.6,8.9,29.7,1.699,14,0.017,3.8
영산호1,2010/12,6.7,11.5,13.4,2.24,6.5,0,1.6
영산호1,2011/01,6.8,12.5,12.1,2.403,3,0.001,4.1
영산호1,2011/02,8.9,17.2,7.9,2.736,3,0,6.7
영산호1,2011/03,7.8,13.3,7.9,3.195,6,0.004,9.4
영산호1,2011/04,8.6,11.5,7,1.123,12.8,0.001,14.2
영산호1,2011/05,7.3,6.1,28.6,2.253,19.2,0.028,2.3
영산호1,2011/06,7.9,4.8,16.8,2.063,22.8,0.01,1.5
영산호1,2011/07,6.9,5.3,91.4,2.255,25,0.032,5.2
영산호1,2011/08,6.7,5.2,37.1,1.482,26.8,0.075,12.1
영산호1,2011/09,7.5,7.1,17.1,1.443,24.3,0.047,6.7
영산호1,2011/10,7.8,7.3,13.7,0.083,18,0.039,5.9
영산호1,2011/11,7.4,8.5,12.9,1.34,11.4,0.033,13.5
영산호1,2011/12,7.5,10.3,15.6,2.399,9.5,0.057,1.8
