군별,pop_growth,birth_rate,elderly_rate,finance,cultural_center,dummy
충북 단양군,-0.57,1.226,25.89,0.675,26.01,0
충북 증평군,5.38,1.832,14.27,0.625,16.36,0
충남 금산군,-0.16,1.29,26.75,0.63,23.69,0
충남 부여군,-0.75,1.311,29.6,0.539,11.24,0
충남 서천군,-1.24,1.213,31.39,0.579,8.79,0
충남 청양군,0.85,1.497,31.54,0.671,12.31,0
충남 홍성군,3.02,1.354,21.32,0.635,8.46,0
충남 예산군,-1.6,1.16,27.05,0.574,13.18,0
충남 태안군,1.57,1.321,26.4,0.661,11.03,0
전북 완주군,5.33,1.697,19.7,0.621,16.79,0
전북 진안군,-0.99,1.821,31.2,0.667,15.27,0
전북 무주군,-0.57,1.46,30.17,0.669,31.72,0
전북 장수군,-0.11,1.388,29.52,0.649,17.18,0
전북 임실군,1.07,1.634,31.63,0.627,16.52,0
전북 순창군,-0.31,1.475,30.7,0.594,23.14,0
전북 고창군,-0.03,1.278,29.47,0.591,11.66,0
전북 부안군,-1.03,1.178,28.89,0.564,14.07,0
전남 담양군,-0.35,1.599,28.22,0.591,14.89,0
전남 곡성군,-0.12,1.437,32.61,0.614,19.56,0
전남 구례군,0.53,1.57,30.1,0.598,18.31,0
전남 고흥군,-1.42,1.091,37.49,0.584,11.66,0
전남 보성군,-1.09,1.7,34.34,0.622,19.85,0
전남 화순군,-1.41,1.219,23.76,0.655,9.11,0
전남 장흥군,0.82,1.204,31.01,0.557,13.79,0
전남 강진군,-2.7,1.755,30.87,0.552,20.64,0
전남 해남군,-0.85,2.464,28.69,0.585,11.81,0
전남 영암군,0,2.107,23.8,0.588,20.64,0
전남 무안군,0.78,1.444,19.7,0.613,9.73,0
전남 함평군,-0.67,1.63,32.86,0.55,14.34,0
전남 영광군,-0.87,1.652,26.56,0.593,10.66,0
전남 장성군,0.21,2.101,27.21,0.657,17.26,0
전남 완도군,0.1,1.767,29.66,0.587,11.32,0
전남 진도군,-0.2,1.697,31.5,0.611,27.71,0
전남 신안군,-0.81,1.539,32.38,0.551,13.86,0
경북 군위군,-0.12,1.239,35.87,0.591,20.72,0
경북 의성군,-1.17,1.505,36.83,0.655,11.01,0
경북 청송군,-0.44,1.548,32.7,0.678,26.53,0
경북 영양군,-1.54,1.517,33.18,0.681,27.94,0
경북 영덕군,-0.88,1.542,33.03,0.608,10.21,0
경북 청도군,-0.33,1.081,32.77,0.647,11.44,0
경북 고령군,-1.12,1.71,25.95,0.598,11.56,0
경북 성주군,0.34,1.674,27.43,0.605,8.88,0
경북 칠곡군,0.69,1.583,12.56,0.63,5.7,0
경북 예천군,-0.89,1.544,32.58,0.596,11.19,0
경북 봉화군,-0.64,1.623,31.92,0.677,11.83,0
경북 울진군,-0.4,1.647,24.48,0.594,13.49,0
경북 울릉군,-1.12,1.164,21.54,0.634,39.4,0
경남 의령군,-2.25,1.317,33.62,0.67,17.52,0
경남 함안군,0.79,1.45,20.26,0.638,7.23,0
경남 창녕군,0.81,1.42,26.8,0.622,12.54,0
경남 고성군,-0.84,1.307,26.44,0.624,16.28,0
경남 남해군,-1.46,1.238,34.77,0.652,10.9,0
경남 하동군,2.18,1.341,29.25,0.627,13.93,0
경남 산청군,0.8,1.888,32.24,0.63,30.5,0
경남 함양군,-0.7,1.404,30.5,0.595,9.92,0
경남 거창군,0.12,1.234,24.63,0.672,7.91,0
경남 합천군,-2.69,0.98,35.34,0.609,12.21,0
