#,접수번호,접수일자,검체유형,시설명,시료명,의뢰기관,의뢰자,대표자,진행상황,부적합항목수,부적합항목,제조번호,제조일자,유통기한,확인일,의뢰구분,성적서용도,검사목적,검사결과,공문번호,공문의뢰일,문서시행번호,문서시행일,최종승인일,담당팀,담당자,채취방법,채취확인자,업체명,업종,배출시설,의뢰주소,전화번호,이동전화,이메일,채취일자,채취장소,처리기간,처리일,수수료,항목수
,2792400013-01,2024-02-06,실내공기질/실내공기질/다중이용시설,별내별가람역,승강장,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 별내3로 지하 345 (별내동),6,2024-02-15,0,3
,2792400013-02,2024-02-06,실내공기질/실내공기질/다중이용시설,별내별가람역,대합실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 별내3로 지하 345 (별내동),6,2024-02-15,0,3
,2792400014-01,2024-02-06,실내공기질/실내공기질/다중이용시설,남양주시도시공사(진접역),대합실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 진접읍 경복대로 지하 244,6,2024-02-15,0,3
,2792400014-02,2024-02-06,실내공기질/실내공기질/다중이용시설,남양주시도시공사(진접역),승강장,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 진접읍 경복대로 지하 244,6,2024-02-15,0,3
,2792400015-01,2024-02-13,실내공기질/실내공기질/가,(주)대성남양주학원,가동 202호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-16,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2168,2024-02-16,2024-02-16,대기환경팀(B),박하현,,,,,학원,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 수동면 외방로135번길 12-30,6,2024-02-20,0,2
,2792400015-02,2024-02-13,실내공기질/실내공기질/가,(주)대성남양주학원,가동 203호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-16,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2168,2024-02-16,2024-02-16,대기환경팀(B),박하현,,,,,학원,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 수동면 외방로135번길 12-30,6,2024-02-20,0,2
,2792400016-01,2024-02-13,실내공기질/실내공기질/나,운수사랑요양원,1층 로비,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-23,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2524,2024-02-23,2024-02-23,대기환경팀(B),박하현,,,,,노인요양시설,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-13,경기 남양주시 수동면 지둔로 15,12,2024-02-28,0,5
,2792400016-02,2024-02-13,실내공기질/실내공기질/나,운수사랑요양원,3층 거실,남양주시,남양주시장,,결과승인완료,1,이산화탄소,,,,2024-02-23,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2524,2024-02-23,2024-02-23,대기환경팀(B),박하현,,,,,노인요양시설,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-13,경기 남양주시 수동면 지둔로 15,12,2024-02-28,0,5
,2792400017-01,2024-02-14,실내공기질/실내공기질/나,진접예랑어린이집,로비,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 진접읍 주곡로 113,12,2024-02-29,0,5
,2792400017-02,2024-02-14,실내공기질/실내공기질/나,진접예랑어린이집,토성2반,남양주시,남양주시장,,결과승인완료,1,이산화탄소,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 진접읍 주곡로 113,12,2024-02-29,0,5
,2792400018-01,2024-02-15,실내공기질/실내공기질/나,해피아이어린이집,1층 사랑의교실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로550번길 30-7,12,2024-03-04,0,5
,2792400018-02,2024-02-15,실내공기질/실내공기질/나,해피아이어린이집,2층 피아노실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로550번길 30-7,12,2024-03-04,0,5
,2792400019-01,2024-02-15,실내공기질/실내공기질/나,밀알성품어린이집,1층 로비,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로690번길 41,12,2024-03-04,0,5
,2792400019-02,2024-02-15,실내공기질/실내공기질/나,밀알성품어린이집,3층 복도,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2779,2024-02-28,2024-02-27,대기환경팀(B),박하현,,,,,어린이집,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-15,경기 남양주시 오남읍 진건오남로690번길 41,12,2024-03-04,0,5
,2792400023-01,2024-02-19,실내공기질/실내공기질/나,구리사랑나눔어린이집,창의반,구리시,구리시장,,결과승인완료,1,이산화탄소,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2933,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매순환로 28 (갈매동),12,2024-03-06,0,5
,2792400023-02,2024-02-19,실내공기질/실내공기질/나,구리사랑나눔어린이집,맑은반,구리시,구리시장,,결과승인완료,1,총부유세균,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2933,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매순환로 28 (갈매동),12,2024-03-06,0,5
,2792400024-01,2024-02-19,실내공기질/실내공기질/나,시립갈매어린이집,유희실,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2927,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매중앙로 80 (갈매동) 1층,12,2024-03-06,0,5
,2792400024-02,2024-02-19,실내공기질/실내공기질/나,시립갈매어린이집,찬솔반,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2927,2024-03-04,2024-03-04,대기환경팀(B),김지영,,,,,어린이집,경기도 구리시 아차산로 439,,,,2024-02-19,경기 구리시 갈매중앙로 80 (갈매동) 1층,12,2024-03-06,0,5
,2792400025-01,2024-02-21,실내공기질/실내공기질/나,구리원진녹색병원,1층 입구(로비),구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로 65 (인창동),12,2024-03-08,0,5
,2792400025-02,2024-02-21,실내공기질/실내공기질/나,구리원진녹색병원,남 탈의실,구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,의료기관,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로 65 (인창동),12,2024-03-08,0,5
,2792400026-01,2024-02-21,실내공기질/실내공기질/나,구리시립노인전문요양원,2층 복도 앞,구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로459번길 211 (갈매동),12,2024-03-08,0,5
,2792400026-02,2024-02-21,실내공기질/실내공기질/나,구리시립노인전문요양원,3층 복도 앞,구리시,구리시장,,결과승인완료,0,,,,,2024-03-06,관원,,,적합,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-3084,2024-03-07,2024-03-06,대기환경팀(B),김지영,,,,,노인요양시설,경기도 구리시 아차산로 439,,,,2024-02-21,경기 구리시 동구릉로459번길 211 (갈매동),12,2024-03-08,0,5
,2792400027-01,2024-02-26,실내공기질/실내공기질/나,시립화전어린이집,1F 여울꿈터반,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,어린이집,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 화랑로 1-1 (화전동),12,2024-03-13,0,5
,2792400027-02,2024-02-26,실내공기질/실내공기질/나,시립화전어린이집,2F 유희실,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,어린이집,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 화랑로 1-1 (화전동),12,2024-03-13,0,5
,2792400028-01,2024-02-26,실내공기질/실내공기질/나,이화요양원,1F 로비,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,노인요양시설,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 용두로47번안길 5-19 (용두동),12,2024-03-13,0,5
,2792400028-02,2024-02-26,실내공기질/실내공기질/나,이화요양원,4F 로비,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,노인요양시설,경기 고양시 덕양구 마상로126번길 91 (주교동) 줌시티 3층 기후에너지과,,,,2024-02-26,경기 고양시 덕양구 용두로47번안길 5-19 (용두동),12,2024-03-13,0,5
,2792400029-01,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),201호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8
,2792400029-02,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),226호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8
,2792400029-03,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),602호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8
,2792400029-04,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),626호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8
,2792400029-05,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),638호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8
,2792400029-06,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),936호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8
,2792400029-07,2024-02-20,실내공기질/실내공기질/신축공동주택,구리갈매 자족1 지식산업센터(기숙사),954호,구리시,구리시장,,결과승인완료,0,,,,,2024-03-04,관원,,,상기실험확인함,환경과-2100,2024-01-18,경기도보건환경연구원북부지원-2924,2024-03-04,2024-03-04,대기환경팀(B),박하현,,,,,신축공동주택,경기도 구리시 아차산로 439,,,,2024-02-20,경기 구리시 갈매동 545,12,2024-03-07,0,8
,2792400030-01,2024-02-23,대기및악취/지도점검/대 기,,15-02-01,포천시,포천시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,환경지도과-3422,2024-02-23,경기도보건환경연구원북부지원-2702,2024-02-27,2024-02-27,대기환경팀(B),김찬혁,,,,,제제 및 연마시설,경기도 포천시 중앙로 87,,,,2024-02-16,,20,2024-03-22,0,2
,2792400030-02,2024-02-23,대기및악취/지도점검/대 기,,15-02-02,포천시,포천시장,,결과승인완료,0,,,,,2024-02-27,관원,,,적합,환경지도과-3422,2024-02-23,경기도보건환경연구원북부지원-2702,2024-02-27,2024-02-27,대기환경팀(B),김찬혁,,,,,제제시설,경기도 포천시 중앙로 87,,,,2024-02-20,,20,2024-03-22,0,2
,2792400031-01,2024-02-27,실내공기질/실내공기질/나,새찬요양병원,1층 로비,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,의료기관,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-27,경기 고양시 덕양구 토당로67번길 2 (토당동),12,2024-03-14,0,5
,2792400031-02,2024-02-27,실내공기질/실내공기질/나,새찬요양병원,2층 복도,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,의료기관,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-27,경기 고양시 덕양구 토당로67번길 2 (토당동),12,2024-03-14,0,5
,2792400032-01,2024-02-27,실내공기질/실내공기질/나,의료법인 한영의료재단 삼성요양병원,1층 원무과,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,의료기관,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-27,경기 고양시 덕양구 지도로 100 (토당동),12,2024-03-14,0,5
,2792400032-02,2024-02-27,실내공기질/실내공기질/나,의료법인 한영의료재단 삼성요양병원,5층 병동,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,의료기관,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-27,경기 고양시 덕양구 지도로 100 (토당동),12,2024-03-14,0,5
,2792400033-01,2024-02-28,실내공기질/실내공기질/나,코레일고양어린이집,1F 해반,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,어린이집,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-28,경기 고양시 덕양구 행주로 108-1 (강매동),12,2024-03-15,0,5
,2792400033-02,2024-02-28,실내공기질/실내공기질/나,코레일고양어린이집,2F 유희실,고양시,고양시장,,결과승인완료,0,,,,,2024-03-11,관원,,,적합,기후에너지과-4673,2024-01-26,경기도보건환경연구원북부지원-3318,2024-03-11,2024-03-11,대기환경팀(B),김지영,,,,,어린이집,"경기 고양시 덕양구 마상로126번길 91 , 줌시티 3층 기후에너지과",,,,2024-02-28,경기 고양시 덕양구 행주로 108-1 (강매동),12,2024-03-15,0,5
